# power spectrum of chi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  5.168569e-01   5.774842e-15   2.618753e-04   2.353359e-16   576
  5.181545e-01   2.003370e-14   1.822405e-04   2.301116e-15   240
  5.189109e-01   7.713543e-15   1.841453e-04   2.828419e-16   552
  5.199816e-01   1.050622e-14   1.729082e-04   6.246564e-16   600
  5.215067e-01   1.094346e-14   2.111937e-04   5.218047e-16   600
  5.224237e-01   8.883869e-15   3.382099e-04   3.889574e-16   312
  5.233368e-01   8.486305e-15   2.945474e-04   3.662903e-16   480
  5.244775e-01   8.767834e-15   1.837693e-04   4.238809e-16   576
  5.254818e-01   1.635156e-15   2.959085e-04   5.913855e-17   408
  5.263729e-01   9.333275e-15   3.451909e-04   1.484501e-15   216
  5.275243e-01   1.862206e-14   2.643774e-04   4.686796e-15   516
  5.287578e-01   6.186139e-15   2.522429e-04   4.723446e-16   744
  5.300304e-01   4.010044e-15   1.684760e-04   3.541635e-16   462
  5.307494e-01   1.813899e-14   1.712315e-04   2.482170e-15   432
  5.318647e-01   5.424852e-15   1.588547e-04   2.420546e-16   648
  5.331761e-01   1.521802e-14   2.324340e-04   9.509449e-16   528
  5.342295e-01   9.465570e-15   2.799086e-04   4.036690e-16   600
